name,ip,status,latency,datetime
Gateway,192.168.200.1,1,6.39,2023-11-04 14:36:21
LocalHost,127.0.0.1,1,0.03,2023-11-04 14:36:26
Gateway,192.168.200.1,1,3.92,2023-11-04 14:36:26
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:36:31
Gateway,192.168.200.1,1,4.27,2023-11-04 14:36:31
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:36:36
Gateway,192.168.200.1,1,1.52,2023-11-04 14:36:36
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:36:41
Gateway,192.168.200.1,1,7.28,2023-11-04 14:36:41
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:36:46
Gateway,192.168.200.1,1,5.82,2023-11-04 14:36:46
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:36:51
Gateway,192.168.200.1,1,5.98,2023-11-04 14:36:51
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:36:56
Gateway,192.168.200.1,1,6.18,2023-11-04 14:36:56
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:37:01
Gateway,192.168.200.1,1,4.03,2023-11-04 14:37:01
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:37:06
Gateway,192.168.200.1,1,6.89,2023-11-04 14:37:06
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:37:12
Gateway,192.168.200.1,1,7.0,2023-11-04 14:37:12
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:37:17
Gateway,192.168.200.1,1,1.61,2023-11-04 14:37:17
LocalHost,127.0.0.1,1,0.07,2023-11-04 14:37:22
Gateway,192.168.200.1,1,39.98,2023-11-04 14:37:22
LocalHost,127.0.0.1,1,0.03,2023-11-04 14:37:38
Gateway,192.168.200.1,1,6.29,2023-11-04 14:37:38
LocalHost,127.0.0.1,1,0.11,2023-11-04 14:37:48
Gateway,192.168.200.1,1,2.0,2023-11-04 14:37:48
LocalHost,127.0.0.1,1,0.24,2023-11-04 14:37:57
Gateway,192.168.200.1,1,2.03,2023-11-04 14:37:57
LocalHost,127.0.0.1,1,0.04,2023-11-04 14:38:33
Gateway,192.168.200.1,1,16.75,2023-11-04 14:38:33
LocalHost,127.0.0.1,1,0.04,2023-11-04 14:38:38
Gateway,192.168.200.1,1,1.59,2023-11-04 14:38:38
LocalHost,127.0.0.1,1,0.06,2023-11-04 14:38:54
Gateway,192.168.200.1,1,3.73,2023-11-04 14:38:54
LocalHost,127.0.0.1,1,0.03,2023-11-04 14:38:59
Gateway,192.168.200.1,1,23.01,2023-11-04 14:38:59
LocalHost,127.0.0.1,1,0.11,2023-11-04 14:39:13
Gateway,192.168.200.1,1,1.77,2023-11-04 14:39:13
LocalHost,127.0.0.1,1,0.11,2023-11-04 14:39:23
Gateway,192.168.200.1,1,1.59,2023-11-04 14:39:23
LocalHost,127.0.0.1,1,0.14,2023-11-04 14:39:38
Gateway,192.168.200.1,1,26.91,2023-11-04 14:39:38
LocalHost,127.0.0.1,1,0.13,2023-11-04 14:39:52
Gateway,192.168.200.1,1,18.53,2023-11-04 14:39:52
LocalHost,127.0.0.1,1,0.1,2023-11-04 14:40:03
Gateway,192.168.200.1,1,27.43,2023-11-04 14:40:03
LocalHost,127.0.0.1,1,0.06,2023-11-04 14:40:08
Gateway,192.168.200.1,1,13.82,2023-11-04 14:40:08
LocalHost,127.0.0.1,1,0.05,2023-11-04 14:41:15
Gateway,192.168.200.1,1,1.97,2023-11-04 14:41:15
LocalHost,127.0.0.1,1,0.07,2023-11-04 14:42:12
Gateway,192.168.200.1,1,5.61,2023-11-04 14:42:12
LocalHost,127.0.0.1,1,0.05,2023-11-04 14:47:09
Gateway,192.168.200.1,1,2.23,2023-11-04 14:47:09
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:47:14
Gateway,192.168.200.1,1,23.66,2023-11-04 14:47:14
LocalHost,127.0.0.1,1,0.03,2023-11-04 14:47:19
Gateway,192.168.200.1,1,8.54,2023-11-04 14:47:19
LocalHost,127.0.0.1,1,0.06,2023-11-04 14:56:55
Gateway,192.168.200.1,1,25.78,2023-11-04 14:56:55
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:57:00
Gateway,192.168.200.1,1,1.81,2023-11-04 14:57:00
LocalHost,127.0.0.1,1,0.04,2023-11-04 14:57:05
Gateway,192.168.200.1,1,2.22,2023-11-04 14:57:05
LocalHost,127.0.0.1,1,0.1,2023-11-04 15:00:46
Gateway,192.168.200.1,1,3.85,2023-11-04 15:00:46
LocalHost,127.0.0.1,1,0.08,2023-11-04 15:03:54
Gateway,192.168.200.1,1,2.56,2023-11-04 15:03:54
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:03:59
Gateway,192.168.200.1,1,1.5,2023-11-04 15:03:59
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:04:04
Gateway,192.168.200.1,1,42.69,2023-11-04 15:04:04
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:04:09
