name,ip,status,latency,datetime
LocalHost,127.0.0.1,1,0.08,2023-11-06 00:06:40
Gateway,192.168.200.1,1,20.35,2023-11-06 00:06:40
LocalHost,127.0.0.1,1,0.06,2023-11-06 00:06:45
Gateway,192.168.200.1,1,11.93,2023-11-06 00:06:45
LocalHost,127.0.0.1,1,0.06,2023-11-06 00:06:50
Gateway,192.168.200.1,1,7.56,2023-11-06 00:06:50
LocalHost,127.0.0.1,1,0.03,2023-11-06 00:06:55
Gateway,192.168.200.1,1,56.52,2023-11-06 00:06:55
LocalHost,127.0.0.1,1,0.02,2023-11-06 00:07:00
Gateway,192.168.200.1,1,4.48,2023-11-06 00:07:00
LocalHost,127.0.0.1,1,0.01,2023-11-06 00:07:05
Gateway,192.168.200.1,1,25.76,2023-11-06 00:07:05
LocalHost,127.0.0.1,1,0.03,2023-11-06 00:07:10
Gateway,192.168.200.1,1,42.0,2023-11-06 00:07:10
LocalHost,127.0.0.1,1,0.02,2023-11-06 00:07:15
Gateway,192.168.200.1,1,5.58,2023-11-06 00:07:15
LocalHost,127.0.0.1,1,0.03,2023-11-06 00:07:20
Gateway,192.168.200.1,1,2.68,2023-11-06 00:07:20
LocalHost,127.0.0.1,1,0.03,2023-11-06 00:07:25
Gateway,192.168.200.1,1,4.24,2023-11-06 00:07:25
LocalHost,127.0.0.1,1,0.04,2023-11-06 00:07:30
Gateway,192.168.200.1,1,1.64,2023-11-06 00:07:30
LocalHost,127.0.0.1,1,0.02,2023-11-06 00:07:35
Gateway,192.168.200.1,1,3.94,2023-11-06 00:07:35
LocalHost,127.0.0.1,1,0.01,2023-11-06 00:07:40
Gateway,192.168.200.1,1,1.68,2023-11-06 00:07:40
LocalHost,127.0.0.1,1,0.02,2023-11-06 00:07:45
Gateway,192.168.200.1,1,1.49,2023-11-06 00:07:45
LocalHost,127.0.0.1,1,0.02,2023-11-06 00:07:50
Gateway,192.168.200.1,1,1.68,2023-11-06 00:07:50
LocalHost,127.0.0.1,1,0.04,2023-11-06 00:07:55
Gateway,192.168.200.1,1,2.2,2023-11-06 00:07:55
LocalHost,127.0.0.1,1,0.03,2023-11-06 00:08:00
Gateway,192.168.200.1,1,12.17,2023-11-06 00:08:00
LocalHost,127.0.0.1,1,0.01,2023-11-06 00:08:05
Gateway,192.168.200.1,1,1.43,2023-11-06 00:08:05
LocalHost,127.0.0.1,1,0.04,2023-11-06 00:08:10
Gateway,192.168.200.1,1,87.64,2023-11-06 00:08:10
LocalHost,127.0.0.1,1,0.03,2023-11-06 00:08:15
Gateway,192.168.200.1,1,89.15,2023-11-06 00:08:15
LocalHost,127.0.0.1,1,0.03,2023-11-06 00:08:20
Gateway,192.168.200.1,1,87.23,2023-11-06 00:08:20
LocalHost,127.0.0.1,1,0.02,2023-11-06 00:08:25
Gateway,192.168.200.1,1,6.6,2023-11-06 00:08:25
LocalHost,127.0.0.1,1,0.01,2023-11-06 00:08:30
Gateway,192.168.200.1,1,11.53,2023-11-06 00:08:30
